id,date,dep_airport,des_airport,airline_id,total
1043,2013-01-01,JFK,KBP,VV,26
1044,2013-12-01,JFK,GCM,B6,788
1045,2013-02-01,JFK,DUS,AB,1465
1046,2013-11-01,JFK,ARN,DY,1536
1047,2013-11-01,JFK,RUH,SV,261
1048,2013-11-01,EWR,CGN,5X,307
1049,2013-09-01,JFK,OSL,DY,1453
1050,2013-01-01,JFK,LUX,CV,408
1051,2013-09-01,JFK,LUX,CV,408
1052,2013-05-01,JFK,RUH,SV,261
1053,2013-01-01,EWR,CGN,5X,307
1054,2013-12-01,JFK,KWI,KU,312
1055,2013-05-01,EWR,CGN,5X,307
1056,2013-04-01,JFK,CTG,B6,321
1057,2013-12-01,EWR,BCN,UA,1904
1058,2013-03-01,JFK,LHR,KU,20374
1059,2013-02-01,EWR,HAM,UA,580
1060,2013-02-01,EWR,STR,UA,534
1061,2013-06-01,JFK,RUH,SV,261
1062,2013-07-01,JFK,LHR,KU,20374
1063,2013-07-01,JFK,GCM,B6,788
1064,2013-01-01,JFK,GEO,BW,538
1065,2013-06-01,JFK,LOS,W3,318
1066,2013-09-01,JFK,KWI,KU,312
1067,2013-04-01,JFK,TXL,AB,1097
1068,2013-08-01,JFK,OSL,DY,1453
1069,2013-11-01,JFK,KWI,KU,312
1070,2013-05-01,EWR,PLS,UA,1179
1071,2013-11-01,EWR,SAL,TA,1578
1072,2013-07-01,JFK,SNN,EI,1749
1073,2013-05-01,JFK,CTG,B6,321
1074,2013-06-01,JFK,GCM,B6,788
1075,2013-11-01,JFK,CTG,B6,321
1076,2013-11-01,JFK,LHR,KU,20374
1077,2013-05-01,JFK,SNN,EI,1749
1078,2013-05-01,EWR,SJD,UA,403
1079,2013-04-01,JFK,SNN,EI,1749
1080,2013-12-01,JFK,LHR,KU,20374
1081,2013-12-01,EWR,GCM,UA,788
1082,2013-05-01,JFK,VKO,UN,194
1083,2013-06-01,JFK,CTG,B6,321
1084,2013-08-01,JFK,KWI,KU,312
1085,2013-04-01,JFK,GCM,B6,788
