name,airline_id,origin_country,active
Regionalia Uruguay,2X,Uruguay,Y
Regionalia Chile,9J,Chile,Y
Vuela Cuba,6C,Cuba,Y
All Australia,88,Australia,Y
Island Express Air,1X,Canada,Y
All Argentina Express,Z0,Argentina,Y
Real Tonga,RT,Tonga,Y
All America BR,1Y,Brazil,Y
FRA Air,X9,Germany,N
Volotea Costa Rica,9V,Costa Rica,Y
Fly Romania,X5,Romania,Y
All America CO,0Y,Colombia,Y
All America MX,0M,Mexico,Y
Air Kenya (Priv),QP,Kenya,Y
OneJet,J1,United States,Y
Global Airlines,0G,Argentina,Y
Severstal Air Company,D2,Russia,Y
Boutique Air (Priv),4B,United States,Y
Aguilar Connect,3X,Chile,N
ROYAL BRITAIN,7V,United Kingdom,N
INAVIA Internacional,Z5,Argentina,Y
Liberty Airways,LE,United States,Y
Аэросервис,АЯ,Russia,Y
Bassaka airlines,5B,Cambodia,Y
SkyBahamas Airlines,Q7,Bahamas,Y
UVT Aero,UW,Russia,Y
Silver Airways (3M),3M,United States,Y
ATA Airlines (Iran),I3,Iran,Y
VIA Líneas Aéreas,V1,Argentina,Y
Palair Macedonia,3D,Macedonia,N
Atlantic Air Cargo,K3,United States,N
Dummy,0E,France,N
All America BOPY,0P,Paraguay,Y
Air Andaman (2Y),2Y,Thailand,N
Jetgo Australia,JG,Australia,Y
