name,airline_id,origin_country,active
Jordan Aviation,R5,Jordan,N
KD Avia,KD,Russia,Y
KLM Cityhopper,WA,Netherlands,Y
KLM Royal Dutch Airlines,KL,Netherlands,Y
Kalitta Air,K4,United States,N
Kam Air,RQ,Afghanistan,Y
Kampuchea Airlines,E2,Cambodia,N
Karat,V2,Russia,N
Kavminvodyavia,KV,Russia,Y
Kenmore Air,M5,United States,Y
Kenya Airways,KQ,Kenya,Y
Kingfisher Airlines,IT,India,Y
Kish Air,Y9,Iran,Y
Kiwi International Air Lines,KP,United States,N
Kogalymavia Air Company,7K,Russia,Y
Korean Air,KE,Republic of Korea,Y
Krasnojarsky Airlines,7B,Russia,Y
Krylo Airlines,K9,Russia,N
Kuban Airlines,GW,Russia,Y
Kuwait Airways,KU,Kuwait,Y
Kuzu Airlines Cargo,GO,Turkey,Y
Kyrgyz Airlines,N5,Kyrgyzstan,N
Kyrgyzstan Airlines,R8,Kyrgyzstan,N
LACSA,LR,Costa Rica,Y
LAI - Linea Aerea IAACA,KG,Venezuela,N
LAN Airlines,LA,Chile,Y
LAN Argentina,4M,Argentina,Y
LAN Express,LU,Chile,Y
LAN Peru,LP,Peru,Y
LOT Polish Airlines,LO,Poland,Y
LTU International,LT,Germany,N
Lagun Air,N6,Spain,N
Lao Airlines,QV,Lao Peoples Democratic Republic,Y
Laoag International Airlines,L7,Philippines,N
Lauda Air,NG,Austria,Y
Lebanese Air Transport,LQ,Lebanon,N
Leeward Islands Air Transport,LI,Antigua and Barbuda,Y
Libyan Arab Airlines,LN,Libya,Y
Linea Aerea de Servicio Ejecutivo Regional,8z,Venezuela,N
Linhas A,LM,Mozambique,Y
Lion Mentari Airlines,JT,Indonesia,Y
Lloyd Aereo Boliviano,LB,Bolivia,N
Luftfahrtgesellschaft Walter,HE,Germany,Y
Lufthansa,LH,Germany,Y
Lufthansa CityLine,CL,Germany,Y
Lufthansa Systems,L1,Germany,N
Lufttaxi Fluggesellschaft,DV,Germany,N
Lufttransport,L5,Norway,Y
Luxair,LG,Luxembourg,Y
Lviv Airlines,5V,Ukraine,N
Lynden Air Cargo,L2,United States,N
L,MJ,Argentina,Y
MasAir,M7,Mexico,Y
MAT Macedonian Airlines,IN,Macedonia,Y
MIAT Mongolian Airlines,OM,Mongolia,Y
Maersk,DM,Denmark,Y
Mahan Air,W5,Iran,Y
Mahfooz Aviation,M2,Gambia,N
Malaysia Airlines,MH,Malaysia,Y
Malmö Aviation,TF,Sweden,Y
Malév,MA,Hungary,Y
Mandala Airlines,RI,Indonesia,Y
Mandarin Airlines,AE,Taiwan,Y
Mango,JE,South Africa,Y
Martinair,MP,Netherlands,Y
Mastertop Linhas Aereas,Q4,Brazil,N
Maxair,8M,Sweden,Y
Maxjet Airways,MY,United States,N
Maya Island Air,MW,Belize,Y
Menajet,IM,Lebanon,N
Meridiana,IG,Italy,Y
Merpati Nusantara Airlines,MZ,Indonesia,Y
Mesa Airlines,YV,United States,Y
Mesaba Airlines,XJ,United States,Y
Mexicana de Aviaci,MX,Mexico,Y
Middle East Airlines,ME,Lebanon,Y
Midway Airlines,JI,United States,Y
Midwest Airlines,YX,United States,Y
Moldavian Airlines,2M,Moldova,Y
Myway Airlines,8I,Italy,Y
Montenegro Airlines,YM,Montenegro,Y
Moskovia Airlines,3R,Russia,Y
Motor Sich,M9,Ukraine,Y
Mountain Air Company,N4,Sierra Leone,N
MyTravel Airways,VZ,United Kingdom,Y
Myanma Airways,UB,Myanmar,Y
Nas Air,P9,Mali,N
Nasair,UE,Eritrea,Y
National Airlines,N7,United States,N
National Airways Cameroon,9O,Cameroon,N
National Jet Systems,NC,Australia,Y
Nationwide Airlines,CE,South Africa,Y
Nauru Air Corporation,ON,Nauru,Y
Navitaire,1N,United States,N
Nepal Airlines,RA,Nepal,Y
New England Airlines,EJ,United States,Y
NextJet,2N,Sweden,Y
Niki,HG,Austria,Y
Nippon Cargo Airlines,KZ,Japan,N
Nok Air,DD,Thailand,Y
Nordeste Linhas Aereas Regionais,JH,Brazil,N
Nordic Regional,6N,Sweden,N
North Coast Aviation,N9,Papua New Guinea,N
Northern Dene Airways,U7,Canada,Y
Northwest Airlines,NW,United States,Y
Northwestern Air,J3,Canada,Y
Norwegian Air Shuttle,DY,Norway,Y
Nouvel Air Tunisie,BJ,Tunisia,Y
Nova Airline,M4,Sudan,N
Nas Air,XY,Saudi Arabia,Y
O'Connor Airlines,UQ,Australia,N
OAG,CR,United Kingdom,N
Oasis Hong Kong Airlines,O8,Hong Kong,Y
Ocean Airlines,VC,Italy,N
Oceanair,O6,Brazil,Y
Oceanic Airlines,O2,Guinea,Y
Olympic Airlines,OA,Greece,Y
Oman Air,WY,Oman,Y
Omni Air International,OY,United States,Y
Omskavia Airline,N3,Russia,N
Orenburg Airlines,R2,Russia,Y
Orient Thai Airlines,OX,Thailand,Y
Ostfriesische Lufttransport,OL,Germany,Y
Overland Airways,OJ,Nigeria,Y
Ozjet Airlines,O7,Australia,Y
PAN Air,PV,Spain,Y
PB Air,9Q,Thailand,Y
PLUNA,PU,Uruguay,Y
PMTair,U4,Cambodia,Y
Pace Airlines,Y5,United States,N
Jetstar Pacific,BL,Vietnam,Y
Pacific Blue,DJ,New Zealand,N
Pacific Coastal Airline,8P,Canada,Y
Pacific East Asia Cargo Airlines,Q8,Philippines,Y
Pacific Southwest Airlines,PS,United States,N
Pacific Wings,LW,United States,Y
Pakistan International Airlines,PK,Pakistan,Y
Palestinian Airlines,PF,Egypt,N
Pamir Airways,NR,Afghanistan,N
Panafrican Airways,PQ,Ivory Coast,N
Pantanal Linhas Aéreas,P8,Brazil,N
Paramount Airways,I7,India,Y
Peninsula Airways,KS,United States,Y
Philippine Airlines,PR,Philippines,Y
Phuket Air,9R,Thailand,N
Piedmont Airlines (1948-1989),PI,United States,Y
Pinnacle Airlines,9E,United States,Y
Polar Air Cargo,PO,United States,N
Polynesian Airlines,PH,Samoa,Y
Porter Airlines,PD,Canada,Y
Portugalia,NI,Portugal,Y
Potomac Air,BK,United States,Y
Precision Air,PW,Tanzania,Y
President Airlines,TO,Cambodia,N
Primaris Airlines,FE,United States,N
Proflight Commuter Services,P0,Zambia,Y
Qantas,QF,Australia,Y
Qatar Airways,QR,Qatar,Y
RACSA,R6,Guatemala,Y
Radixx Solutions International,1D,United States,N
Reem Air,V4,Kyrgyzstan,N
Regional Airlines,FN,Morocco,Y
Regional Express,ZL,Australia,Y
RegionsAir,3C,United States,N
Republic Airlines,RW,United States,Y
Republic Express Airlines,RH,Indonesia,Y
Rico Linhas A,C7,Brazil,N
Rio Sul Servi,SL,Brazil,N
Rossiya,R4,Russia,Y
Air Rarotonga,GZ,Cook Islands,Y
Royal Air Force,RR,United Kingdom,N
Royal Air Maroc,AT,Morocco,Y
Royal Airlines,R0,Pakistan,N
Royal Brunei Airlines,BI,Brunei,Y
Royal Jordanian,RJ,Jordan,Y
Royal Tongan Airlines,WR,Tonga,N
Russian Sky Airlines,P7,Russia,N
Rwandair Express,WB,Rwanda,Y
Ryan International Airlines,RD,United States,Y
Ryanair,FR,Ireland,Y
Régional,YS,France,Y
SATA International,S4,Portugal,Y
South African Airways,SA,South Africa,Y
Shaheen Air International,NL,Pakistan,Y
Scandinavian Airlines System,SK,Sweden,Y
S7 Airlines,S7,Russia,Y
Seaborne Airlines,BB,United States,Y
SriLankan Airlines,UL,Sri Lanka,Y
Sun Country Airlines,SY,United States,Y
Sky Eyes,I6,Thailand,N
Star Flyer,7G,Japan,Y
Safair,FA,South Africa,N
SATA Air Acores,SP,Portugal,Y
Singapore Airlines,SQ,Singapore,Y
Sibaviatrans,5M,Russia,Y
Skynet Airlines,SI,Ireland,Y
SITA,XS,Belgium,N
Sriwijaya Air,SJ,Indonesia,Y
Sama Airlines,ZS,Saudi Arabia,Y
Siem Reap Airways,FT,Cambodia,Y
Sky Work Airlines,SX,Switzerland,N
Swedline Express,SM,Sweden,N
South East Asian Airlines,DG,Philippines,Y
Skyservice Airlines,5G,Canada,Y
Servicios de Transportes A,FS,Argentina,Y
Sudan Airways,SD,Sudan,Y
Saudi Arabian Airlines,SV,Saudi Arabia,Y
Southwest Airlines,WN,United States,Y
Southern Winds Airlines,A4,Argentina,Y
Sunwing Airlines,WG,Canada,N
Swiss International Air Lines,LX,Switzerland,Y
Swissair,SR,Switzerland,Y
Swe Fly,WV,Sweden,Y
SunExpress,XQ,Turkey,Y
Skywalk Airlines,AL,United States,Y
Silk Way Airlines,ZP,Azerbaijan,N
Samara Airlines,E5,Russia,N
Shandong Airlines,SC,China,Y
Spring Airlines,9S,China,Y
Sichuan Airlines,3U,China,Y
Shanghai Airlines,FM,China,Y
Shenzhen Airlines,ZH,China,Y
Sun D'Or,7L,Israel,Y
SkyEurope,NE,Slovakia,Y
Sunshine Express Airlines,CQ,Australia,N
Superior Aviation,SO,United States,N
Spanair,JK,Spain,Y
Sabre Pacific,1Z,Australia,N
Sabre,1S,United States,N
Siren-Travel,1H,Russia,N
Sirena,1Q,Russia,N
Southern Cross Distribution,1K,Australia,N
SNCF,2C,France,N
Spirit Airlines,NK,United States,Y
Slok Air Gambia,S0,Gambia,N
Santa Barbara Airlines,S3,Venezuela,Y
Sky Airline,H2,Chile,Y
SkyWest,OO,United States,Y
Skyways Express,JZ,Sweden,Y
Skymark Airlines,BC,Japan,Y
Sierra National Airlines,LJ,Sierra Leone,N
SilkAir,MI,Singapore,Y
Slovak Airlines,6Q,Slovakia,N
Surinam Airways,PY,Suriname,Y
Sterling Airlines,NB,Denmark,Y
Skynet Asia Airways,6J,Japan,Y
Solomon Airlines,IE,Solomon Islands,Y
Saratov Aviation Division,6W,Russia,Y
Sat Airlines,HZ,Kazakhstan,Y
Shuttle America,S5,United States,Y
Star Air,S6,Denmark,N
TAME,EQ,Ecuador,Y
TAM Brazilian Airlines,JJ,Brazil,Y
TAP Portugal,TP,Portugal,Y
Tunisair,TU,Tunisia,Y
TNT Airways,3V,Belgium,N
Thai Air Cargo,T2,Thailand,Y
Thomas Cook Airlines,FQ,Belgium,Y
Thomas Cook Airlines,MT,United Kingdom,Y
Tandem Aero,TQ,Moldova,N
Teamline Air,L9,Austria,N
Titan Airways,ZT,United Kingdom,N
Tiger Airways,TR,Singapore,Y
Thai Airways International,TG,Thailand,Y
Thai AirAsia,FD,Thailand,Y
Turkish Airlines,TK,Turkey,Y
Twin Jet,T7,France,Y
Thai Sky Airlines,9I,Thailand,N
Tiara Air,3P,Aruba,Y
Tol-Air Services,TI,United States,N
Thomsonfly,BY,United Kingdom,Y
Tropic Air,PM,Belize,Y
TAMPA,QT,Colombia,Y
TransAsia Airways,GE,Taiwan,Y
Transavia Holland,HV,Netherlands,Y
TACV,VR,Portugal,Y
TransMeridian Airlines,T9,United States,N
Transwest Air,9T,Canada,Y
Transaero Airlines,UN,Russia,Y
Turkmenistan Airlines,T5,Turkmenistan,Y
Tuninter,UG,Tunisia,Y
Tavrey Airlines,T6,Ukraine,N
Trans World Airlines,TW,United States,N
TUIfly Nordic,6B,Sweden,Y
TAAG Angola Airlines,DT,Angola,Y
Tassili Airlines,SF,Algeria,N
TAM Mercosur,PZ,Paraguay,Y
Trans States Airlines,AX,United States,Y
Travelsky Technology,1E,China,N
Thalys,2H,Belgium,N
Open Skies Consultative Commission,1L,United States,N
Tarom,RO,Romania,Y
Turan Air,3T,Azerbaijan,Y
TRIP Linhas A,8R,Brazil,Y
USA3000 Airlines,U5,United States,Y
United Airlines,UA,United States,Y
Ural Airlines,U6,Russia,Y
UM Airlines,UF,Ukraine,Y
Ukrainian Cargo Airways,6Z,Ukraine,N
United Parcel Service,5X,United States,N
US Airways,US,United States,Y
UTair Aviation,UT,Russia,Y
Uzbekistan Airways,HY,Uzbekistan,Y
US Helicopter Corporation,UH,United States,Y
V Australia Airlines,VA,Australia,N
Valuair,VF,Singapore,Y
Vietnam Airlines,VN,Vietnam,Y
VIM Airlines,NN,Russia,Y
VIA Rail Canada,2R,Canada,N
Volaris,Y4,Mexico,Y
Volga-Dnepr Airlines,VI,Russia,Y
Virgin America,VX,United States,Y
Virgin Express,TV,Belgium,Y
Virgin Nigeria Airways,VK,Nigeria,Y
Virgin Atlantic Airways,VS,United Kingdom,Y
Viva Macau,ZG,Macao,Y
Vladivostok Air,XF,Russia,Y
Varig Log,LC,Brazil,Y
Viaggio Air,VM,Bulgaria,N
VRG Linhas Aereas,RG,Brazil,Y
VASP,VP,Brazil,Y
VLM Airlines,VG,Belgium,Y
Wayraper,7W,Peru,Y
WebJet Linhas A,WJ,Brazil,Y
Welcome Air,2W,Austria,Y
West Coast Air,8O,Canada,Y
WestJet,WS,Canada,Y
Widerøe,WF,Norway,Y
Wind Jet,IV,Italy,Y
Wizz Air,W6,Hungary,Y
Wizz Air Hungary,8Z,Bulgaria,Y
World Airways,WO,United States,Y
