index,year,dep_airport,des_airport,alid,airline_id,dom_fgn,scheduled,chartered,total
2748,2019,JFK,AUH,21107,EY,0,60,0,60
2749,2019,JFK,BCN,19790,DL,1,60,0,60
2750,2019,JFK,BCN,19805,AA,1,60,0,60
2751,2019,JFK,BDA,19790,DL,1,60,0,60
2752,2019,JFK,BDA,19805,AA,1,60,0,60
2753,2019,JFK,BRU,19790,DL,1,60,0,60
2754,2019,JFK,BRU,21567,SN,0,60,0,60
2755,2019,JFK,CAI,19747,MS,0,60,0,60
2756,2019,JFK,CDG,19805,AA,1,60,0,60
2757,2019,JFK,CDG,21579,DY,0,60,0,60
2758,2019,JFK,CUN,19805,AA,1,60,0,60
2759,2019,JFK,CPH,19790,DL,1,60,0,60
2760,2019,JFK,DEL,19533,AI,0,60,0,60
2761,2019,JFK,DUB,19790,DL,1,60,0,60
2762,2019,JFK,EDI,19790,DL,1,60,0,60
2763,2019,JFK,EZE,19805,AA,1,60,0,60
2764,2019,JFK,FCO,19790,DL,1,60,0,60
2765,2019,JFK,FCO,19805,AA,1,60,0,60
2766,2019,JFK,FRA,19572,SQ,0,60,0,60
2767,2019,JFK,FRA,19790,DL,1,60,0,60
2768,2019,JFK,GLA,19790,DL,1,60,0,60
2769,2019,JFK,GRU,19805,AA,1,60,0,60
2770,2019,JFK,GYE,20348,XL,0,60,0,60
2771,2019,JFK,HAV,20409,B6,1,60,0,60
2772,2019,JFK,HEL,19538,AY,0,60,0,60
2773,2019,JFK,HND,19548,JL,0,60,0,60
2774,2019,JFK,HND,19791,NH,0,60,0,60
2775,2019,JFK,ICN,20277,OZ,0,60,0,60
2776,2019,JFK,JNB,19570,SA,0,60,0,60
2777,2019,JFK,KBP,21608,PS,0,60,0,60
2778,2019,JFK,KEF,19790,DL,1,60,0,60
2779,2019,JFK,KIN,19542,BW,0,60,0,60
2780,2019,JFK,KIN,19790,DL,1,60,0,60
2781,2019,JFK,KWI,19616,KU,0,60,0,60
2782,2019,JFK,LGW,19540,BA,0,60,0,60
2783,2019,JFK,LIM,19552,LA,0,60,0,60
2784,2019,JFK,LIS,19576,TP,0,60,0,60
2785,2019,JFK,LIS,19790,DL,1,60,0,60
2786,2019,JFK,MAD,19790,DL,1,60,0,60
2787,2019,JFK,MAD,19805,AA,1,60,0,60
2788,2019,JFK,MAD,20119,UX,0,60,0,60
2789,2019,JFK,MAD,21579,DY,0,60,0,60
2790,2019,JFK,MAN,19682,VS,0,60,0,60
2791,2019,JFK,MBJ,19542,BW,0,60,0,60
2792,2019,JFK,MEX,19790,DL,1,60,0,60
2793,2019,JFK,MNL,19564,PR,0,60,0,60
2794,2019,JFK,MTY,20250,5D,0,60,0,60
2795,2019,JFK,MUC,19554,LH,0,60,0,60
2796,2019,JFK,MXP,19539,AZ,0,60,0,60
2797,2019,JFK,MXP,19790,DL,1,60,0,60
2798,2019,JFK,MXP,19805,AA,1,60,0,60
2799,2019,JFK,MXP,20392,EK,0,60,0,60
2800,2019,JFK,MXP,21433,IG,0,60,0,60
2801,2019,JFK,NRT,19548,JL,0,60,0,60
2802,2019,JFK,NRT,19791,NH,0,60,0,60
2803,2019,JFK,PDL,19790,DL,1,60,0,60
2804,2019,JFK,PRG,19790,DL,1,60,0,60
2805,2019,JFK,SAL,19556,LR,0,60,0,60
2806,2019,JFK,SAL,19574,TA,0,60,0,60
2807,2019,JFK,SCL,19552,LA,0,60,0,60
2808,2019,JFK,SNN,19790,DL,1,60,0,60
2809,2019,JFK,SXM,19790,DL,1,60,0,60
2810,2019,JFK,TXL,19790,DL,1,60,0,60
2811,2019,JFK,VCE,19790,DL,1,60,0,60
2812,2019,JFK,VIE,19873,OS,0,60,0,60
2813,2019,JFK,YVR,19779,CX,0,60,0,60
2814,2019,JFK,YYC,20229,WS,0,60,0,60
2815,2019,JFK,ZRH,19790,DL,1,60,0,60
2816,2020,JFK,SXM,20409,B6,1,60,0,60
2817,2020,JFK,UVF,20409,B6,1,60,0,60
2818,2019,EWR,BCN,21579,DY,0,60,0,60
2819,2019,EWR,FRA,19977,UA,1,60,0,60
2820,2019,EWR,GVA,19977,UA,1,60,0,60
2821,2019,EWR,KEF,19546,FI,0,60,0,60
2822,2019,EWR,KEF,19977,UA,1,60,0,60
2823,2019,EWR,NAP,19977,UA,1,60,0,60
2824,2019,EWR,NAS,19977,UA,1,60,0,60
2825,2019,EWR,SDQ,20416,NK,1,60,0,60
2826,2019,EWR,VCE,19977,UA,1,60,0,60
2827,2019,EWR,YVR,19977,UA,1,60,0,60
2828,2019,JFK,AUA,19790,DL,1,60,0,60
2829,2019,JFK,FCO,19790,DL,1,60,0,60
2830,2019,JFK,MAD,19805,AA,1,60,0,60
2831,2019,JFK,MAN,20334,MT,0,60,0,60
2832,2019,JFK,PLS,20409,B6,1,60,0,60
2833,2019,EWR,DUB,19623,EI,0,60,0,60
2834,2019,EWR,GVA,19977,UA,1,60,0,60
2835,2019,EWR,HAV,20452,YX,1,60,0,60
2836,2019,EWR,HKG,19779,CX,0,60,0,60
2837,2019,EWR,HKG,19977,UA,1,60,0,60
2838,2019,EWR,KEF,19546,FI,0,60,0,60
2839,2019,EWR,LIS,19977,UA,1,60,0,60
2840,2019,EWR,PVG,19977,UA,1,60,0,60
2841,2019,EWR,YHZ,20366,EV,1,60,0,60
2842,2019,EWR,ZRH,20233,LX,0,60,0,60
2843,2019,JFK,CDG,21579,DY,0,60,0,60
2844,2019,JFK,MBJ,19790,DL,1,60,0,60
2845,2019,EWR,AMS,19977,UA,1,60,0,60
2846,2019,EWR,ARN,19571,SK,0,60,0,60
2847,2019,EWR,ATH,19977,UA,1,60,0,60
2848,2019,EWR,ATH,20392,EK,0,60,0,60
2849,2019,EWR,BCN,19977,UA,1,60,0,60
2850,2019,EWR,BOG,19977,UA,1,60,0,60
2851,2019,EWR,BOM,19533,AI,0,60,0,60
2852,2019,EWR,CDG,19977,UA,1,60,0,60
2853,2019,EWR,DUB,19623,EI,0,60,0,60
2854,2019,EWR,DXB,20392,EK,0,60,0,60
2855,2019,EWR,FCO,19977,UA,1,60,0,60
2856,2019,EWR,FRA,19554,LH,0,60,0,60
2857,2019,EWR,FRA,19977,UA,1,60,0,60
2858,2019,EWR,GLA,19977,UA,1,60,0,60
2859,2019,EWR,GRU,19977,UA,1,60,0,60
2860,2019,EWR,GVA,19977,UA,1,60,0,60
2861,2019,EWR,HAV,20452,YX,1,60,0,60
2862,2019,EWR,HKG,19977,UA,1,60,0,60
2863,2019,EWR,KEF,19546,FI,0,60,0,60
2864,2019,EWR,LHR,19682,VS,0,60,0,60
2865,2019,EWR,LIM,19977,UA,1,60,0,60
2866,2019,EWR,LIS,19576,TP,0,60,0,60
2867,2019,EWR,LIS,19977,UA,1,60,0,60
2868,2019,EWR,MAD,19977,UA,1,60,0,60
2869,2019,EWR,MAN,19977,UA,1,60,0,60
2870,2019,EWR,MUC,19554,LH,0,60,0,60
2871,2019,EWR,MUC,19977,UA,1,60,0,60
2872,2019,EWR,MXP,19977,UA,1,60,0,60
2873,2019,EWR,NRT,19977,UA,1,60,0,60
2874,2019,EWR,OPO,19977,UA,1,60,0,60
2875,2019,EWR,OSL,19571,SK,0,60,0,60
2876,2019,EWR,POS,19977,UA,1,60,0,60
2877,2019,EWR,PRG,19977,UA,1,60,0,60
2878,2019,EWR,PUJ,19977,UA,1,60,0,60
2879,2019,EWR,SIN,19572,SQ,0,60,0,60
2880,2019,EWR,STI,19977,UA,1,60,0,60
2881,2019,EWR,TXL,19977,UA,1,60,0,60
2882,2019,EWR,VCE,19977,UA,1,60,0,60
2883,2019,EWR,YVR,19531,AC,0,60,0,60
2884,2019,EWR,YYC,19531,AC,0,60,0,60
2885,2019,EWR,ZRH,19977,UA,1,60,0,60
2886,2019,EWR,ZRH,20233,LX,0,60,0,60
2887,2019,JFK,AMS,21579,DY,0,60,0,60
2888,2019,JFK,AUH,21107,EY,0,60,0,60
2889,2019,JFK,BDA,19790,DL,1,60,0,60
2890,2019,JFK,BRU,21567,SN,0,60,0,60
2891,2019,JFK,CAI,19747,MS,0,60,0,60
2892,2019,JFK,CDG,19805,AA,1,60,0,60
2893,2019,JFK,DEL,19533,AI,0,60,0,60
2894,2019,JFK,EDI,19790,DL,1,60,0,60
2895,2019,JFK,EZE,19805,AA,1,60,0,60
2896,2019,JFK,FCO,19805,AA,1,60,0,60
2897,2019,JFK,FRA,19572,SQ,0,60,0,60
2898,2019,JFK,FRA,19790,DL,1,60,0,60
2899,2019,JFK,GRU,19790,DL,1,60,0,60
2900,2019,JFK,GRU,19805,AA,1,60,0,60
2901,2019,JFK,GVA,20233,LX,0,60,0,60
2902,2019,JFK,HND,19548,JL,0,60,0,60
2903,2019,JFK,JNB,19570,SA,0,60,0,60
2904,2019,JFK,KBP,21608,PS,0,60,0,60
2905,2019,JFK,KEF,19790,DL,1,60,0,60
2906,2019,JFK,KIN,19542,BW,0,60,0,60
2907,2019,JFK,KWI,19616,KU,0,60,0,60
2908,2019,JFK,LIM,19552,LA,0,60,0,60
2909,2019,JFK,LIS,19576,TP,0,60,0,60
2910,2019,JFK,LIS,19790,DL,1,60,0,60
2911,2019,JFK,MAD,19790,DL,1,60,0,60
2912,2019,JFK,MAD,19805,AA,1,60,0,60
2913,2019,JFK,MAD,20119,UX,0,60,0,60
2914,2019,JFK,MAN,19682,VS,0,60,0,60
2915,2019,JFK,MBJ,19790,DL,1,60,0,60
2916,2019,JFK,MEX,20409,B6,1,60,0,60
2917,2019,JFK,MXP,19539,AZ,0,60,0,60
2918,2019,JFK,MXP,19790,DL,1,60,0,60
2919,2019,JFK,MXP,19805,AA,1,60,0,60
2920,2019,JFK,MXP,20392,EK,0,60,0,60
2921,2019,JFK,MXP,21433,IG,0,60,0,60
2922,2019,JFK,NCE,19790,DL,1,60,0,60
2923,2019,JFK,ORY,19532,AF,0,60,0,60
2924,2019,JFK,POP,20409,B6,1,60,0,60
2925,2019,JFK,PRG,19790,DL,1,60,0,60
2926,2019,JFK,PUJ,19790,DL,1,60,0,60
2927,2019,JFK,SCL,19552,LA,0,60,0,60
2928,2019,JFK,SXM,20409,B6,1,60,0,60
2929,2019,JFK,TPE,20005,BR,0,60,0,60
2930,2019,JFK,UVF,20409,B6,1,60,0,60
2931,2019,JFK,YVR,19779,CX,0,60,0,60
2932,2019,JFK,YYC,20229,WS,0,60,0,60
2933,2019,JFK,ZRH,19790,DL,1,60,0,60
2934,2019,EWR,ATH,20392,EK,0,60,0,60
2935,2019,EWR,BCN,19977,UA,1,60,0,60
2936,2019,EWR,BRU,19977,UA,1,60,0,60
2937,2019,EWR,KEF,19546,FI,0,60,0,60
2938,2019,EWR,LIS,19576,TP,0,60,0,60
2939,2019,EWR,PTY,19977,UA,1,60,0,60
2940,2019,JFK,BCN,19790,DL,1,60,0,60
2941,2019,JFK,BRU,21567,SN,0,60,0,60
2942,2019,JFK,CDG,21579,DY,0,60,0,60
2943,2019,JFK,CMN,19536,AT,0,60,0,60
2944,2019,JFK,HND,19548,JL,0,60,0,60
2945,2019,JFK,HND,19791,NH,0,60,0,60
2946,2019,JFK,KBP,21608,PS,0,60,0,60
2947,2019,JFK,MXP,19805,AA,1,60,0,60
2948,2019,JFK,SCL,19552,LA,0,60,0,60
2949,2019,JFK,YUL,20398,MQ,1,60,0,60
2950,2019,JFK,EZE,19805,AA,1,61,0,61
2951,2019,JFK,DEL,19533,AI,0,61,0,61
2952,2019,JFK,ORY,19532,AF,0,61,0,61
2953,2019,JFK,AUA,19790,DL,1,61,0,61
2954,2019,JFK,MXP,19805,AA,1,61,0,61
2955,2019,JFK,MEX,21342,VB,0,61,0,61
2956,2019,JFK,MEX,20409,B6,1,61,0,61
2957,2019,JFK,MBJ,19542,BW,0,61,0,61
2958,2019,JFK,MAD,21579,DY,0,61,0,61
2959,2019,JFK,DUB,19790,DL,1,61,0,61
2960,2019,JFK,LIS,19790,DL,1,61,0,61
2961,2019,JFK,GCM,20409,B6,1,61,0,61
2962,2019,JFK,LIM,19552,LA,0,61,0,61
2963,2019,JFK,GUA,19574,TA,0,61,0,61
2964,2019,JFK,KIN,19790,DL,1,61,0,61
2965,2019,JFK,GCM,19912,KX,0,61,0,61
2966,2019,JFK,MTY,20250,5D,0,61,0,61
2967,2019,JFK,MXP,19790,DL,1,61,0,61
2968,2019,JFK,POP,20409,B6,1,61,0,61
2969,2019,JFK,BRU,19790,DL,1,61,0,61
2970,2019,JFK,BCN,19805,AA,1,61,0,61
2971,2019,JFK,AMS,21579,DY,0,61,0,61
2972,2019,EWR,AMS,19977,UA,1,61,0,61
2973,2019,JFK,AMS,21579,DY,0,61,0,61
2974,2019,JFK,BDA,20409,B6,1,61,0,61
2975,2019,EWR,CDG,19977,UA,1,61,0,61
2976,2019,EWR,TXL,19977,UA,1,61,0,61
2977,2019,EWR,FCO,19977,UA,1,61,0,61
2978,2019,JFK,AUH,21107,EY,0,61,0,61
2979,2019,JFK,BCN,19790,DL,1,61,0,61
2980,2019,JFK,TXL,19790,DL,1,61,0,61
2981,2019,EWR,STI,20409,B6,1,61,0,61
2982,2019,JFK,BCN,19805,AA,1,61,0,61
2983,2019,EWR,SDQ,20416,NK,1,61,0,61
2984,2019,EWR,SDQ,20409,B6,1,61,0,61
2985,2019,JFK,MXP,19539,AZ,0,61,0,61
2986,2019,JFK,MEX,20409,B6,1,61,0,61
2987,2019,EWR,BRU,19977,UA,1,61,0,61
2988,2019,EWR,PVG,19977,UA,1,61,0,61
2989,2019,EWR,OSL,19571,SK,0,61,0,61
2990,2019,EWR,NRT,19977,UA,1,61,0,61
2991,2019,EWR,MUC,19554,LH,0,61,0,61
2992,2019,EWR,YVR,19977,UA,1,61,0,61
2993,2019,JFK,MAD,19790,DL,1,61,0,61
2994,2019,EWR,HKG,19977,UA,1,61,0,61
2995,2019,JFK,CUN,19805,AA,1,61,0,61
2996,2019,EWR,EDI,19977,UA,1,61,0,61
2997,2019,EWR,FRA,19554,LH,0,61,0,61
2998,2019,EWR,EDI,19977,UA,1,61,0,61
2999,2019,EWR,KEF,19977,UA,1,61,0,61
3000,2019,JFK,KIN,19542,BW,0,61,0,61
