index,airline_id,dep_airport,des_airport,stops
211,2P,SUG,MNL,0
212,2P,TUG,MNL,0
213,2P,ZAM,MNL,0
214,2Z,AUX,PMW,0
215,2Z,BRA,BSB,0
216,2Z,BRA,SSA,0
217,2Z,BSB,BRA,0
218,2Z,BSB,OPS,0
219,2Z,BSB,RAO,0
220,2Z,CAC,GRU,0
221,2Z,CGB,GYN,0
222,2Z,CGB,OPS,0
223,2Z,CGR,DOU,0
224,2Z,DOU,CGR,0
225,2Z,DOU,GRU,0
226,2Z,GIG,RAO,0
227,2Z,GRU,CAC,0
228,2Z,GRU,DOU,0
229,2Z,GRU,RAO,0
230,2Z,GRU,UBA,0
231,2Z,GRU,UDI,0
232,2Z,GRU,VDC,0
233,2Z,GYN,CGB,0
234,2Z,GYN,PMW,0
235,2Z,GYN,RAO,0
236,2Z,GYN,UDI,0
237,2Z,OPS,BSB,0
238,2Z,OPS,CGB,0
239,2Z,PLU,RAO,0
240,2Z,PMW,AUX,0
241,2Z,PMW,GYN,0
242,2Z,RAO,BSB,0
243,2Z,RAO,GIG,0
244,2Z,RAO,GRU,0
245,2Z,RAO,GYN,0
246,2Z,RAO,PLU,0
247,2Z,RAO,SJP,0
248,2Z,RAO,UDI,0
249,2Z,SJP,RAO,0
250,2Z,SSA,BRA,0
251,2Z,SSA,VDC,0
252,2Z,UBA,GRU,0
253,2Z,UBA,UDI,0
254,2Z,UDI,GRU,0
255,2Z,UDI,GYN,0
256,2Z,UDI,RAO,0
257,2Z,UDI,UBA,0
258,2Z,VDC,GRU,0
259,2Z,VDC,SSA,0
260,3E,BRL,ORD,0
261,3E,BRL,STL,0
262,3E,DEC,ORD,0
263,3E,DEC,STL,0
264,3E,JBR,STL,0
265,3E,ORD,BRL,0
266,3E,ORD,DEC,0
267,3E,STL,BRL,0
268,3E,STL,DEC,0
269,3E,STL,JBR,0
270,3F,CGA,HYL,0
271,3F,CGA,KTN,0
272,3F,HYL,CGA,0
273,3F,HYL,KTB,0
274,3F,HYL,KTN,0
275,3F,KTB,HYL,0
276,3F,KTB,KTN,0
277,3F,KTN,CGA,0
278,3F,KTN,HYL,0
279,3F,KTN,KTB,0
280,3F,KTN,MTM,0
281,3F,MTM,KTN,0
282,3G,ACC,DKR,0
283,3G,ACC,LOS,0
284,3G,ACC,ROB,0
285,3G,BCN,BJL,0
286,3G,BJL,BCN,0
287,3G,BJL,DKR,0
288,3G,BJL,FNA,0
289,3G,CKY,OXB,0
290,3G,DKR,ACC,0
291,3G,DKR,BJL,0
292,3G,DKR,DLA,0
293,3G,DKR,FNA,0
294,3G,DKR,LOS,0
295,3G,DKR,OXB,0
296,3G,DLA,DKR,0
297,3G,DLA,LOS,0
298,3G,FNA,BJL,0
299,3G,FNA,DKR,0
300,3G,FNA,LGW,0
301,3G,FNA,ROB,0
302,3G,LGW,FNA,0
303,3G,LOS,ACC,0
304,3G,LOS,DKR,0
305,3G,LOS,DLA,0
306,3G,LOS,ROB,0
307,3G,OXB,CKY,0
308,3G,OXB,DKR,0
309,3G,ROB,ACC,0
310,3G,ROB,FNA,0
311,3G,ROB,LOS,0
312,3H,AKV,YIK,0
313,3H,AKV,YPX,0
314,3H,XGR,YVP,0
315,3H,YGL,YGW,0
316,3H,YGL,YPX,0
317,3H,YGL,YUL,0
318,3H,YGW,YGL,0
319,3H,YGW,YPH,0
320,3H,YGW,YSK,0
321,3H,YGW,YUD,0
322,3H,YGW,YUL,0
323,3H,YGW,YUY,0
324,3H,YIK,AKV,0
325,3H,YIK,YZG,0
326,3H,YKG,YPJ,0
327,3H,YKG,YQC,0
328,3H,YKG,YVP,0
329,3H,YKL,YQB,0
330,3H,YKL,YVP,0
331,3H,YKL,YWK,0
332,3H,YKL,YZV,0
333,3H,YPH,YPX,0
334,3H,YPH,YUD,0
335,3H,YPH,YVP,0
336,3H,YPJ,YKG,0
337,3H,YPJ,YTQ,0
338,3H,YPJ,YVP,0
339,3H,YPX,AKV,0
340,3H,YPX,YGL,0
341,3H,YPX,YPH,0
342,3H,YPX,YVP,0
343,3H,YQB,YKL,0
344,3H,YQB,YUL,0
345,3H,YQC,YKG,0
346,3H,YQC,YWB,0
347,3H,YSK,YGW,0
348,3H,YSK,YUD,0
349,3H,YTQ,YPJ,0
350,3H,YTQ,YVP,0
351,3H,YUD,YGW,0
352,3H,YUD,YPH,0
353,3H,YUD,YSK,0
354,3H,YUL,YGL,0
355,3H,YUL,YGW,0
356,3H,YUL,YQB,0
357,3H,YUL,YUY,0
358,3H,YUY,YGW,0
359,3H,YUY,YUL,0
360,3H,YVP,XGR,0
361,3H,YVP,YGW,0
362,3H,YVP,YKG,0
363,3H,YVP,YKL,0
364,3H,YVP,YPH,0
365,3H,YVP,YPJ,0
366,3H,YVP,YPX,0
367,3H,YVP,YTQ,0
368,3H,YWB,YQC,0
369,3H,YWB,YZG,0
370,3H,YWK,YKL,0
371,3H,YWK,YZV,0
372,3H,YZG,YIK,0
373,3H,YZG,YWB,0
374,3H,YZV,YKL,0
375,3H,YZV,YWK,0
376,3J,JIB,DXB,0
377,3J,JIB,JED,0
378,3J,JIB,MGQ,0
379,3J,MGQ,NBO,0
380,3J,NBO,MGQ,0
381,3K,BKK,SIN,0
382,3K,DRW,SIN,0
383,3K,HAK,SIN,0
384,3K,HGH,SIN,0
385,3K,HKG,SIN,0
386,3K,HKT,SIN,0
387,3K,KIX,MNL,0
388,3K,KIX,TPE,0
389,3K,KUL,SIN,0
390,3K,MNL,KIX,0
391,3K,MNL,SIN,0
392,3K,PEN,SIN,0
393,3K,PER,SIN,0
394,3K,PNH,SIN,0
395,3K,REP,SIN,0
396,3K,RGN,SIN,0
397,3K,SGN,SIN,0
398,3K,SIN,BKK,0
399,3K,SIN,DRW,0
400,3K,SIN,HAK,0
401,3K,SIN,HGH,0
402,3K,SIN,HKG,0
403,3K,SIN,HKT,0
404,3K,SIN,KUL,0
405,3K,SIN,MNL,0
406,3K,SIN,PEN,0
407,3K,SIN,PER,0
408,3K,SIN,PNH,0
409,3K,SIN,REP,0
410,3K,SIN,RGN,0
411,3K,SIN,SGN,0
412,3K,SIN,SWA,0
413,3K,SIN,TPE,0
414,3K,SWA,SIN,0
415,3K,TPE,KIX,0
416,3K,TPE,SIN,0
417,3L,ACH,EBA,0
418,3L,DRS,ZRH,0
419,3L,DUS,FDH,0
420,3L,EBA,ACH,0
421,3L,EBA,FDH,0
422,3L,EBA,MUC,0
423,3L,EBA,ZRH,0
424,3L,FDH,DUS,0
425,3L,FDH,EBA,0
426,3L,FDH,HAM,0
427,3L,FDH,OLB,0
428,3L,FDH,TXL,0
429,3L,FDH,ZAD,0
430,3L,FMM,NAP,0
431,3L,GRZ,ZRH,0
432,3L,HAM,FDH,0
433,3L,MUC,EBA,0
434,3L,NAP,FMM,0
435,3L,OLB,FDH,0
436,3L,SZG,ZRH,0
437,3L,TXL,FDH,0
438,3L,ZAD,FDH,0
439,3L,ZRH,DRS,0
440,3L,ZRH,EBA,0
441,3L,ZRH,GRZ,0
442,3L,ZRH,SZG,0
443,3M,ATL,LWB,0
444,3M,ATL,MCN,0
445,3M,ATL,MEI,0
446,3M,ATL,MSL,0
447,3M,ATL,PIB,0
448,3M,ATL,TUP,0
449,3M,BIM,FLL,0
450,3M,ELH,FLL,0
451,3M,ELH,PBI,0
452,3M,EYW,FLL,0
453,3M,EYW,RSW,0
454,3M,EYW,TPA,0
455,3M,FLL,BIM,0
456,3M,FLL,ELH,0
457,3M,FLL,EYW,0
458,3M,FLL,FPO,0
459,3M,FLL,GGT,0
460,3M,FLL,GHB,0
461,3M,FLL,MCO,0
462,3M,FLL,MHH,0
463,3M,FLL,TCB,0
464,3M,FLL,TPA,0
465,3M,FPO,FLL,0
466,3M,GGT,FLL,0
467,3M,GGT,GHB,0
468,3M,GHB,FLL,0
469,3M,GLH,TUP,0
470,3M,GNV,MCO,0
471,3M,GNV,TPA,0
472,3M,JAX,MHH,0
473,3M,JAX,TPA,0
474,3M,LWB,ATL,0
475,3M,MCN,ATL,0
476,3M,MCN,MCO,0
477,3M,MCO,FLL,0
478,3M,MCO,GNV,0
479,3M,MCO,MCN,0
480,3M,MCO,MHH,0
481,3M,MCO,PNS,0
482,3M,MCO,RSW,0
483,3M,MCO,TLH,0
484,3M,MEI,ATL,0
485,3M,MHH,FLL,0
486,3M,MHH,JAX,0
487,3M,MHH,MCO,0
488,3M,MHH,PBI,0
489,3M,MSL,ATL,0
490,3M,PBI,ELH,0
491,3M,PBI,MHH,0
492,3M,PBI,TPA,0
493,3M,PIB,ATL,0
494,3M,PNS,MCO,0
495,3M,PNS,TPA,0
496,3M,RSW,EYW,0
497,3M,RSW,MCO,0
498,3M,TCB,FLL,0
499,3M,TLH,MCO,0
500,3M,TLH,TPA,0
501,3M,TPA,EYW,0
502,3M,TPA,FLL,0
503,3M,TPA,GNV,0
504,3M,TPA,JAX,0
505,3M,TPA,PBI,0
506,3M,TPA,PNS,0
507,3M,TPA,TLH,0
508,3M,TUP,ATL,0
509,3M,TUP,GLH,0
510,3O,AMS,NDR,0
511,3O,AMS,TNG,0
512,3O,BCN,CMN,0
513,3O,BCN,NDR,0
514,3O,BCN,TNG,0
515,3O,BGY,CMN,0
516,3O,BLQ,CMN,0
517,3O,BRU,CMN,0
518,3O,BRU,NDR,0
519,3O,BRU,TNG,0
520,3O,CGN,NDR,0
521,3O,CMN,BCN,0
522,3O,CMN,BGY,0
523,3O,CMN,BLQ,0
524,3O,CMN,BRU,0
525,3O,CMN,CUF,0
526,3O,CMN,LGW,0
527,3O,CMN,LYS,0
528,3O,CMN,MPL,0
529,3O,CMN,SAW,0
530,3O,CMN,TLS,0
531,3O,CMN,TSF,0
532,3O,CUF,CMN,0
533,3O,FEZ,MPL,0
534,3O,LGW,CMN,0
535,3O,LGW,TNG,0
536,3O,LYS,CMN,0
537,3O,MPL,CMN,0
538,3O,MPL,FEZ,0
539,3O,MPL,NDR,0
540,3O,NDR,AMS,0
541,3O,NDR,BCN,0
542,3O,NDR,BRU,0
543,3O,NDR,CGN,0
544,3O,NDR,MPL,0
545,3O,NDR,PMI,0
546,3O,PMI,NDR,0
547,3O,SAW,CMN,0
548,3O,TLS,CMN,0
549,3O,TNG,AMS,0
550,3O,TNG,BCN,0
551,3O,TNG,BRU,0
552,3O,TNG,LGW,0
553,3O,TSF,CMN,0
554,3P,AUA,LSP,0
555,3P,AUA,MAR,0
556,3P,BON,CUR,0
557,3P,CUR,AUA,0
558,3P,LSP,AUA,0
559,3P,MAR,AUA,0
560,3R,ASF,DME,0
561,3R,ASF,LED,0
562,3R,BHK,DME,0
563,3R,DME,ASF,0
564,3R,DME,BHK,0
565,3R,DME,EGO,0
566,3R,DME,FEG,0
567,3R,DME,KSQ,0
568,3R,DME,NMA,0
569,3R,DME,NVI,0
570,3R,DME,SKD,0
571,3R,DME,TIV,0
572,3R,EGO,DME,0
573,3R,FEG,DME,0
574,3R,KSQ,DME,0
575,3R,LED,ASF,0
576,3R,NMA,DME,0
577,3R,NVI,DME,0
578,3R,SKD,DME,0
579,3R,TIV,DME,0
580,3S,ANU,PTP,0
581,3S,CAY,FDF,0
582,3S,CUR,SDQ,0
583,3S,DOM,PTP,0
584,3S,DOM,SXM,0
585,3S,FDF,CAY,0
586,3S,FDF,PTP,0
587,3S,FDF,SDQ,0
588,3S,FDF,SLU,0
589,3S,PTP,ANU,0
590,3S,PTP,DOM,0
591,3S,PTP,FDF,0
592,3S,PTP,SBH,0
593,3S,PTP,SDQ,0
594,3S,PTP,SFG,0
595,3S,PTP,SXM,0
596,3S,SBH,PTP,0
597,3S,SDQ,PTP,0
598,3S,SDQ,SXM,0
599,3S,SFG,PTP,0
600,3S,SLU,FDF,0
601,3S,SXM,DOM,0
602,3S,SXM,PTP,0
603,3S,SXM,SDQ,0
604,3U,BHY,XIY,0
605,3U,CAN,CKG,0
606,3U,CAN,CTU,0
607,3U,CAN,SPN,0
608,3U,CGO,CGQ,0
609,3U,CGO,CKG,0
610,3U,CGO,CTU,0
611,3U,CGO,HGH,0
612,3U,CGO,HRB,0
613,3U,CGO,KMG,0
614,3U,CGO,URC,0
615,3U,CGQ,CGO,0
616,3U,CGQ,NKG,0
617,3U,CGQ,TNA,0
618,3U,CGQ,TSN,0
619,3U,CKG,CAN,0
620,3U,CKG,CGO,0
621,3U,CKG,CSX,0
622,3U,CKG,CTU,0
623,3U,CKG,CZX,0
624,3U,CKG,DLC,0
625,3U,CKG,DYG,0
626,3U,CKG,HAK,0
627,3U,CKG,HGH,0
628,3U,CKG,HKT,0
629,3U,CKG,INC,0
630,3U,CKG,KHN,0
631,3U,CKG,KMG,0
632,3U,CKG,LHW,0
633,3U,CKG,LJG,0
634,3U,CKG,LXA,0
635,3U,CKG,NGB,0
636,3U,CKG,NKG,0
637,3U,CKG,NNG,0
638,3U,CKG,PEK,0
639,3U,CKG,PVG,0
640,3U,CKG,PZI,0
641,3U,CKG,SWA,0
642,3U,CKG,SYD,0
643,3U,CKG,SYX,0
644,3U,CKG,SZX,0
645,3U,CKG,TNA,0
646,3U,CKG,TSA,0
647,3U,CKG,TSN,0
648,3U,CKG,TYN,0
649,3U,CKG,URC,0
650,3U,CKG,WUH,0
651,3U,CKG,WUX,0
652,3U,CKG,XIY,0
653,3U,CKG,XNN,0
654,3U,CKG,YIH,0
655,3U,CKG,ZHA,0
656,3U,CSX,CKG,0
657,3U,CSX,CTU,0
658,3U,CSX,FOC,0
659,3U,CSX,KMG,0
660,3U,CSX,SHE,0
661,3U,CSX,WNZ,0
662,3U,CSX,XMN,0
663,3U,CTU,CAN,0
664,3U,CTU,CGO,0
665,3U,CTU,CKG,0
666,3U,CTU,CSX,0
667,3U,CTU,DCY,0
668,3U,CTU,DSN,0
669,3U,CTU,HAK,0
670,3U,CTU,HDG,0
671,3U,CTU,HET,0
672,3U,CTU,HFE,0
673,3U,CTU,HGH,0
674,3U,CTU,HKG,0
675,3U,CTU,HKT,0
676,3U,CTU,ICN,0
677,3U,CTU,INC,0
678,3U,CTU,JHG,0
679,3U,CTU,JIQ,0
680,3U,CTU,JZH,0
681,3U,CTU,KHN,0
682,3U,CTU,KMG,0
683,3U,CTU,KOW,0
684,3U,CTU,KWE,0
685,3U,CTU,LHW,0
686,3U,CTU,LJG,0
687,3U,CTU,LUM,0
688,3U,CTU,LXA,0
689,3U,CTU,LZY,0
690,3U,CTU,MEL,0
691,3U,CTU,NKG,0
692,3U,CTU,NNG,0
693,3U,CTU,PEK,0
694,3U,CTU,PVG,0
695,3U,CTU,PZI,0
696,3U,CTU,SHE,0
697,3U,CTU,SJW,0
698,3U,CTU,SYX,0
699,3U,CTU,SZX,0
700,3U,CTU,TAO,0
701,3U,CTU,TNA,0
702,3U,CTU,TSA,0
703,3U,CTU,TSN,0
704,3U,CTU,TYN,0
705,3U,CTU,URC,0
706,3U,CTU,WNZ,0
707,3U,CTU,WUH,0
708,3U,CTU,WUX,0
709,3U,CTU,WXN,0
710,3U,CTU,XIC,0
711,3U,CTU,XIY,0
712,3U,CTU,XMN,0
713,3U,CTU,XNN,0
714,3U,CTU,XUZ,0
715,3U,CTU,YIH,0
716,3U,CTU,YTY,0
717,3U,CZX,CKG,0
718,3U,CZX,HRB,0
719,3U,CZX,XMN,0
720,3U,CZX,ZUH,0
721,3U,DAT,TYN,0
722,3U,DCY,CTU,0
723,3U,DLC,CKG,0
724,3U,DLC,HGH,0
725,3U,DLC,HRB,0
726,3U,DLC,TNA,0
727,3U,DLC,XUZ,0
728,3U,DNH,LHW,0
729,3U,DSN,CTU,0
730,3U,DSN,SHE,0
731,3U,DYG,CKG,0
732,3U,DYG,NKG,0
733,3U,FOC,CSX,0
734,3U,FOC,XIY,0
735,3U,GXH,LXA,0
736,3U,GXH,XIY,0
737,3U,HAK,CKG,0
738,3U,HAK,CTU,0
739,3U,HAK,HGH,0
740,3U,HAK,NGB,0
741,3U,HAK,ZUH,0
742,3U,HDG,CTU,0
743,3U,HET,CTU,0
744,3U,HFE,CTU,0
745,3U,HGH,CGO,0
746,3U,HGH,CKG,0
747,3U,HGH,CTU,0
748,3U,HGH,DLC,0
749,3U,HGH,HAK,0
750,3U,HGH,KWE,0
751,3U,HGH,TSN,0
752,3U,HGH,TYN,0
753,3U,HKG,CTU,0
754,3U,HKG,YIH,0
755,3U,HKG,ZHA,0
756,3U,HKT,CKG,0
757,3U,HKT,CTU,0
758,3U,HRB,CGO,0
759,3U,HRB,CZX,0
760,3U,HRB,DLC,0
761,3U,HRB,INC,0
762,3U,HRB,NGB,0
763,3U,HRB,NKG,0
764,3U,HRB,NZH,0
765,3U,HRB,SJW,0
766,3U,HRB,TNA,0
767,3U,HRB,TSN,0
768,3U,HRB,WNZ,0
769,3U,HRB,WUH,0
770,3U,HRB,XIY,0
771,3U,HRB,XUZ,0
772,3U,ICN,CTU,0
773,3U,INC,CKG,0
774,3U,INC,CTU,0
775,3U,INC,HRB,0
776,3U,INC,KWL,0
777,3U,JGN,LHW,0
778,3U,JHG,CTU,0
779,3U,JHG,KMG,0
780,3U,JIQ,CTU,0
781,3U,JJN,KWE,0
782,3U,JJN,WUH,0
783,3U,JZH,CTU,0
784,3U,KHG,URC,0
785,3U,KHN,CKG,0
786,3U,KHN,CTU,0
787,3U,KHN,KMG,0
788,3U,KHN,NGB,0
789,3U,KMG,CGO,0
790,3U,KMG,CKG,0
791,3U,KMG,CSX,0
792,3U,KMG,CTU,0
793,3U,KMG,JHG,0
794,3U,KMG,KHN,0
795,3U,KMG,KWE,0
796,3U,KMG,LUM,0
797,3U,KMG,NGB,0
798,3U,KMG,NKG,0
799,3U,KMG,TAO,0
800,3U,KMG,TNA,0
801,3U,KMG,TPE,0
802,3U,KMG,WXN,0
803,3U,KMG,XIY,0
804,3U,KMG,XMN,0
805,3U,KMG,XUZ,0
806,3U,KOW,CTU,0
807,3U,KOW,XMN,0
808,3U,KWE,CTU,0
809,3U,KWE,HGH,0
810,3U,KWE,JJN,0
811,3U,KWE,KMG,0
812,3U,KWE,LHW,0
813,3U,KWE,SYX,0
814,3U,KWE,WNZ,0
815,3U,KWE,XUZ,0
816,3U,KWL,INC,0
817,3U,KWL,SJW,0
818,3U,KWL,SYX,0
819,3U,LHW,CKG,0
820,3U,LHW,CTU,0
821,3U,LHW,DNH,0
822,3U,LHW,JGN,0
823,3U,LHW,KWE,0
824,3U,LHW,TSN,0
825,3U,LJG,CKG,0
826,3U,LJG,CTU,0
827,3U,LJG,MIG,0
828,3U,LUM,CTU,0
829,3U,LUM,KMG,0
830,3U,LXA,CKG,0
831,3U,LXA,CTU,0
832,3U,LXA,GXH,0
833,3U,LXA,XIY,0
834,3U,LXA,XNN,0
835,3U,LYI,XIY,0
836,3U,LZY,CTU,0
837,3U,MEL,CTU,0
838,3U,MIG,LJG,0
839,3U,MIG,NKG,0
840,3U,MIG,SYX,0
841,3U,MIG,XNN,0
842,3U,NGB,CKG,0
843,3U,NGB,HAK,0
844,3U,NGB,HRB,0
845,3U,NGB,KHN,0
846,3U,NGB,KMG,0
847,3U,NGB,SHE,0
848,3U,NGB,SYX,0
849,3U,NKG,CGQ,0
850,3U,NKG,CKG,0
851,3U,NKG,CTU,0
852,3U,NKG,DYG,0
853,3U,NKG,HRB,0
854,3U,NKG,KMG,0
855,3U,NKG,MIG,0
856,3U,NKG,SYX,0
857,3U,NNG,CKG,0
858,3U,NNG,CTU,0
859,3U,NNG,SGN,0
860,3U,NNG,WUH,0
861,3U,NTG,WUH,0
862,3U,NZH,HRB,0
863,3U,PEK,CKG,0
864,3U,PEK,CTU,0
865,3U,PEK,WXN,0
866,3U,PEK,ZHY,0
867,3U,PVG,CKG,0
868,3U,PVG,CTU,0
869,3U,PVG,SPN,0
870,3U,PZI,CKG,0
871,3U,PZI,CTU,0
872,3U,SGN,NNG,0
873,3U,SHE,CSX,0
874,3U,SHE,CTU,0
875,3U,SHE,DSN,0
876,3U,SHE,NGB,0
877,3U,SHE,TYN,0
878,3U,SHE,XUZ,0
879,3U,SHE,YVR,0
880,3U,SJW,CTU,0
881,3U,SJW,HRB,0
882,3U,SJW,KWL,0
883,3U,SPN,CAN,0
884,3U,SPN,PVG,0
885,3U,SWA,CKG,0
886,3U,SYD,CKG,0
887,3U,SYX,CKG,0
888,3U,SYX,CTU,0
889,3U,SYX,KWE,0
890,3U,SYX,KWL,0
891,3U,SYX,MIG,0
892,3U,SYX,NGB,0
893,3U,SYX,NKG,0
894,3U,SYX,TNA,0
895,3U,SYX,WNZ,0
896,3U,SYX,YBP,0
897,3U,SZX,CKG,0
898,3U,SZX,CTU,0
899,3U,SZX,WXN,0
900,3U,TAO,CTU,0
901,3U,TAO,KMG,0
902,3U,TNA,CGQ,0
903,3U,TNA,CKG,0
904,3U,TNA,CTU,0
905,3U,TNA,DLC,0
906,3U,TNA,HRB,0
907,3U,TNA,KMG,0
908,3U,TNA,SYX,0
909,3U,TNA,XIY,0
910,3U,TPE,KMG,0
911,3U,TSA,CKG,0
912,3U,TSA,CTU,0
913,3U,TSN,CGQ,0
914,3U,TSN,CKG,0
915,3U,TSN,CTU,0
916,3U,TSN,HGH,0
917,3U,TSN,HRB,0
918,3U,TSN,LHW,0
919,3U,TVS,TYN,0
920,3U,TYN,CKG,0
921,3U,TYN,CTU,0
922,3U,TYN,DAT,0
923,3U,TYN,HGH,0
924,3U,TYN,SHE,0
