airline_id,dep_airport,des_airport,dep_name,dep_city,dep_country,dep_lat,dep_lng,total,des_name,des_city,des_country,airport_id,des_lat,des_lng,alt
VS,JFK,MAN,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1451,Manchester Airport,Manchester,United Kingdom,MAN,53.35369873,-2.274950027,257
5Y,JFK,LUX,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,408,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,LUX,49.6233333,6.2044444,1234
5Y,JFK,YHZ,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,3458,Halifax / Stanfield International Airport,Halifax,Canada,YHZ,44.88079834,-63.50859833,477
WO,JFK,CCS,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,528,Simón Bolívar International Airport,Caracas,Venezuela,CCS,10.601194,-66.991222,234
GL,JFK,YUL,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,18521,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,45.47060013,-73.74079895,118
5Y,JFK,HAJ,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,2,Hannover Airport,Hannover,Germany,HAJ,52.46110153,9.685079575,183
N8,JFK,QRO,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,2,Querétaro Intercontinental Airport,Queretaro,Mexico,QRO,20.6173,-100.185997,6296
GL,LGA,YUL,La Guardia Airport,New York,United States,40.77719879,-73.87259674,18521,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,45.47060013,-73.74079895,118
EZ,JFK,OST,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,7,Ostend-Bruges International Airport,Ostend,Belgium,OST,51.19889832,2.862220049,13
5Y,JFK,EMA,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,9,East Midlands Airport,East Midlands,United Kingdom,EMA,52.83110046,-1.328060031,306
5Y,JFK,DWC,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1,Al Maktoum International Airport,Dubai,United Arab Emirates,DWC,24.896356,55.161389,114
SY,JFK,NAS,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,3196,Lynden Pindling International Airport,Nassau,Bahamas,NAS,25.03899956,-77.46620178,16
5Y,JFK,LOS,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,318,Murtala Muhammed International Airport,Lagos,Nigeria,LOS,6.577370167,3.321160078,135
GL,EWR,BDA,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,3146,L.F. Wade International International Airport,Bermuda,Bermuda,BDA,32.36399841,-64.67870331,12
X9,JFK,CPH,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1156,Copenhagen Kastrup Airport,Copenhagen,Denmark,CPH,55.61790085,12.65600014,17
8C,JFK,AMS,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,3750,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,52.308601,4.76389,-11
CC,JFK,OST,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,7,Ostend-Bruges International Airport,Ostend,Belgium,OST,51.19889832,2.862220049,13
GL,EWR,GUA,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,143,La Aurora Airport,Guatemala City,Guatemala,GUA,14.5833,-90.527496,4952
5Y,JFK,BUD,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1,Budapest Liszt Ferenc International Airport,Budapest,Hungary,BUD,47.42976,19.261093,495
N8,JFK,LGG,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,201,Liège Airport,Liege,Belgium,LGG,50.63740158,5.443220139,659
5Y,JFK,YWG,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,15,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,49.90999985,-97.23989868,783
5Y,JFK,CCS,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,528,Simón Bolívar International Airport,Caracas,Venezuela,CCS,10.601194,-66.991222,234
SY,JFK,SMA,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1,Santa Maria Airport,Santa Maria (island),Portugal,SMA,36.97140121,-25.17060089,308
EZ,JFK,FNA,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1,Lungi International Airport,Freetown,Sierra Leone,FNA,8.61644,-13.1955,84
AC,EWR,PTY,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,2364,Tocumen International Airport,Panama City,Panama,PTY,9.071359634,-79.38349915,135
5Y,JFK,ASI,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1,RAF Ascension Island,Wide Awake,Saint Helena,ASI,-7.9696,-14.3937,278
N8,EWR,BAH,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,5,Bahrain International Airport,Bahrain,Bahrain,BAH,26.27079964,50.63359833,6
5Y,EWR,MEX,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,5929,Licenciado Benito Juarez International Airport,Mexico City,Mexico,MEX,19.4363,-99.072098,7316
